s2_token,geometry,confidence_threshold_80%_precision,confidence_threshold_85%_precision,confidence_threshold_90%_precision,building_count_80%_precision,building_count_85%_precision,building_count_90%_precision,building_count
149,"POLYGON ((22.61986494804043 32.39984017391932, 28.67314648943499 31.09807140426155, 28.67314648943499 36.34237313080051, 22.61986494804043 37.74124916352239, 22.61986494804043 32.39984017391932))",1.000,1.000,1.000,0,0,0,2203
113,"POLYGON ((16.53483785734515 10.18989264617986, 22.61986494804043 9.8193006387579, 22.61986494804043 15.32501998539171, 16.53483785734515 15.88626236166589, 16.53483785734515 10.18989264617986))",0.646,0.715,0.777,10662,5736,2661,14906
0dd,"POLYGON ((-10.61965527615513 22.27057548800819, -5.059868846264117 22.54054940194471, -5.059868846264117 28.57906855098932, -10.61965527615513 28.25839533868567, -10.61965527615513 22.27057548800819))",0.743,0.756,0.791,81205,72944,50004,190977
227,"POLYGON ((45 -11.85551661629703, 50.01876534108111 -12.81566331979315, 50.01876534108111 -8.175896074358709, 45 -7.552372279897661, 45 -11.85551661629703))",1.000,1.000,1.000,0,0,0,119699
199,"POLYGON ((22.61986494804043 -9.8193006387579, 28.67314648943499 -9.341889685888818, 28.67314648943499 -4.442038523400337, 22.61986494804043 -4.67244275538945, 22.61986494804043 -9.8193006387579))",0.600,0.646,0.721,3142594,2820893,2165694,3144212
1f5,"POLYGON ((39.98123465891889 -22.73590953009369, 45 -21.14143744584222, 45 -16.41644037358546, 39.98123465891889 -17.70687285471333, 39.98123465891889 -22.73590953009369))",0.632,0.678,0.700,297458,254809,233709,325089
0f1,"POLYGON ((-16.53483785734516 4.851647556935838, -10.61965527615514 4.973642825000524, -10.61965527615513 10.44179817172576, -16.53483785734515 10.18989264617986, -16.53483785734516 4.851647556935838))",0.715,0.745,0.785,2664739,2289939,1703974,3792383
125,"POLYGON ((5.059868846264117 28.57906855098932, 10.61965527615513 28.25839533868567, 10.61965527615513 34.04786296943432, 5.059868846264117 34.40415724063815, 5.059868846264117 28.57906855098932))",0.815,0.833,0.845,215124,116155,64474,2040425
17b,"POLYGON ((34.5085229876684 4.173022773894666, 39.98123465891889 3.881312186924027, 39.98123465891889 8.175896074358709, 34.5085229876684 8.783194988097531, 34.5085229876684 4.173022773894666))",0.648,0.694,0.754,13011736,11515089,8815452,14266134
137,"POLYGON ((16.53483785734516 33.38766721236327, 22.61986494804043 32.39984017391932, 22.61986494804043 37.74124916352239, 16.53483785734516 38.79459515585769, 16.53483785734516 33.38766721236327))",1.000,1.000,1.000,0,0,0,19
169,"POLYGON ((28.67314648943499 14.59941342503042, 34.5085229876684 13.74670252512002, 34.5085229876684 18.9499500044539, 28.67314648943499 20.08096213071963, 28.67314648943499 14.59941342503042))",0.817,0.836,0.856,3109408,1796235,696765,12739036
177,"POLYGON ((28.67314648943499 0, 34.5085229876684 0, 34.5085229876684 4.173022773894666, 28.67314648943499 4.442038523400337, 28.67314648943499 0))",0.661,0.709,0.749,18302642,16016603,13363269,20394503
3d9,"POLYGON ((45 7.552372279897661, 50.01876534108111 8.175896074358709, 50.01876534108111 12.81566331979315, 45 11.85551661629703, 45 7.552372279897661))",0.771,0.806,0.822,256477,157929,112744,722083
1f1,"POLYGON ((34.5085229876684 -29.53280370582265, 39.98123465891889 -27.78027316318915, 39.98123465891889 -22.73590953009369, 34.5085229876684 -24.25860976441469, 34.5085229876684 -29.53280370582265))",0.783,0.788,0.802,80930,72499,47697,302310
103,"POLYGON ((0 5.059868846264117, 5.059868846264116 5.040252729758283, 5.059868846264117 10.57920733737058, 0 10.61965527615513, 0 5.059868846264117))",0.686,0.729,0.767,16587389,14260959,11643549,20413548
